Event,Run,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,M
666626491,178424,129.372846913,22.9629961379,-9.926534504,126.931032718,25.0167,2.32682,-0.408024,-1,83.5239758757,-27.8565549044,12.7925529551,77.6956003345,30.6535,1.66002,2.71109,1,16.4489924484,-13.1483136251,8.50097813356,5.04117046605,15.6571,0.316655,2.56765,-1,9.84524507523,2.62316570872,-8.10533477669,-4.93358165269,8.51924,-0.55083,-1.2578,1,122.669828306
400912970,193575,27.1459627834,19.4504684626,-4.77787612605,-18.3236042167,20.0287,-0.819877,-0.240874,1,41.4548617806,-9.97197945808,22.908837764,-33.0794549982,24.9851,-1.09298,1.98135,-1,15.7785249216,12.307407592,5.03077282075,8.49593382931,13.2959,0.601969,0.388035,1,103.2195471,-10.5611261152,-26.435982513,-99.2163108915,28.4675,-1.96166,-1.95087,-1,121.891585797
137440354,195099,92.5961775474,8.5353921252,-22.5757527987,-89.3953208549,24.1354,-2.02028,-1.20933,-1,59.8124628499,-10.7217014151,41.8109883787,-41.4053850271,43.1638,-0.852272,1.82182,1,21.4101492687,6.95334165376,-20.2443480232,0.460330755882,21.4052,0.0215039,-1.23995,1,11.0130223689,-7.74692375716,6.87465686858,-3.74311724054,10.3574,-0.353958,2.41578,-1,127.047752639
